,deezer_id,genres,id,name,popularity,genre
1017,5798710,"[brazilian electronica, brazilian hip hop]",53iGNetIf91uZx4Jb54cgb,Haikaiss,70,brazilian hip hop
1018,6557769,"[dance pop, deep tropical house, edm, pop, tropical house]",4YXycRbyyAE0wozTk7QMEq,Matoma,74,pop
1019,191873,"[cowboy western, western swing]",0KpEAwp8zARUw37m0Jtdei,Elton Britt,31,cowboy western
1020,1263299,"[adoracao, brazilian gospel]",1KJkhqZNLx1JY9vXkBhGV5,Trazendo a Arca,49,adoracao
1021,4973893,[],355SqtHY4qKt2wIXrWku0c,CLOVES,58,
1022,4559022,"[deep pop r&b, indie r&b, neo soul, r&b, urban contemporary]",7r2oyrNc0YjSC7hZL87V0Y,Ro James,56,r&b
1023,5571502,"[alternative dance, aussietronica, edm, tropical house]",5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,73,tropical house
1024,389584,"[broadway, hollywood, show tunes]",7daPb40K64rRtF36wd3ZOk,Stephen Schwartz,58,hollywood
1025,490419,[francoton],2JLl6rSFWx9YuSPLcLhkAG,Julian Perretta,53,francoton
1026,54515,[],36XgiYYO6GEPEJybfz5vWW,Kohndo,26,
1027,1344,"[canadian pop, ectofolk, folk, folk-pop, lilith, neo mellow, new wave pop, permanent wave, pop rock]",4NgNsOXSwIzXlUIJcpnNUp,Sarah McLachlan,64,folk-pop
1028,80466,[pop house],48vWW7ozlrI3oT6zecxDUV,Discobitch,34,pop house
1029,7022443,"[indie poptimism, metropopolis, modern alternative rock]",5tIkXJTex4JY7cv9mmgAZx,Ruelle,66,modern alternative rock
1030,409,"[modern rock, pop punk, punk]",6FBDaR13swtiWwGhX1WQsP,blink-182,79,modern rock
1031,5490601,[],72ZEnTn1vD4hXxydUIz0oP,Christopher Tyng,36,
1032,6739,"[chanson, french rock, swiss rock]",29My6ypNwcVp0mjpy3sX2E,Stephan Eicher,46,chanson
1033,16495,[],2vAu3qMgOvtukijgajuXhM,King Africa,42,
1034,321,"[alternative rock, neo mellow, pop rock, post-grunge, rock]",0vEsuISMWAKNctLlUAhSZC,Counting Crows,70,rock
1035,127412,[],1OOP1resUwhmwUhIFtFfQN,Starlight Kuku Gumi,31,
1036,404,"[emo, modern rock, pop punk]",4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,82,modern rock
1037,3280,"[adult standards, cabaret, christmas, jazz blues, swing, vocal jazz]",5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,71,adult standards
1038,1642,"[irish rock, modern rock, neo mellow, permanent wave, pop rock, rock]",3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,73,rock
1039,8978996,[],0ZMYIwRkBeJRJMGOWy255n,Ever After High,33,
1040,9083,"[alternative rock, garage rock, indie rock, modern rock, rock, scottish rock]",3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,65,rock
1041,209267,"[bass trap, big room, brostep, edm, electro house, electronic trap, moombahton, vapor twitch]",6M7RdR9ZP52h2mfNLmiHtU,GTA,64,edm
1042,315082,"[axe, pagode, sertanejo, sertanejo universitario]",1RnHJ07H3jcpay9PrUPjnt,Raça Negra,65,pagode
1043,25,"[eurodance, europop, finnish edm]",0LhHRmSd1EYM5QdNeNnCoQ,Darude,61,europop
1044,1083,"[bubblegum dance, classic schlager, discofox, europop, oktoberfest, schlager]",0DR4z5jMA1eqx0CmHBUpkr,DJ Ötzi,57,europop
1045,6533751,"[indie anthem-folk, indie folk, modern rock]",4Ly0KABsxlx4fNj63zJTrF,Seafret,64,modern rock
1046,4938,"[cantautor, latin, latin arena pop, latin pop, rock en espanol, tropical]",0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,77,latin
1047,719,"[reggae, roots reggae]",2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,81,roots reggae
1048,1655452,[],53IZaGmciXOiYEJ9GzakSM,Shawn Eff,36,
1049,5876247,"[francoton, french hip hop, trap francais]",2tcoLkA9Hexz70Kuc1NTUl,Gradur,59,french hip hop
1050,9377696,[],5qdgMzNYnzkM1iEEM6Mcka,Rohn Noir,5,
1051,4539853,"[francoton, french pop]",6bebPrkEPr2xEkiHP3QkNT,Fréro Delavega,55,french pop
1052,5499837,"[french hip hop, rap conscient, trap francais]",5hREZP0zTQbTLkZ2M8RS4v,Djadja & Dinaz,66,french hip hop
